Line,Order,From_Station,To_Station,Total,PM Peak   ,Evening   ,Late      
Bakerloo,1,Elephant & Castle ,Lambeth North,"13,432","4,118","1,288",398
Bakerloo,2,Lambeth North,Waterloo ,"18,597","5,718","1,916",580
Bakerloo,3,Waterloo ,Embankment,"46,020","13,746","4,609","1,466"
Bakerloo,4,Embankment,Charing Cross ,"55,475","17,155","5,959","1,940"
Bakerloo,5,Charing Cross ,Piccadilly Circus,"63,929","20,112","7,712","3,035"
Bakerloo,6,Piccadilly Circus,Oxford Circus,"78,889","25,117","13,140","6,971"
Bakerloo,7,Oxford Circus,Regent's Park,"80,090","27,291","15,471","7,124"
Bakerloo,8,Regent's Park,Baker Street,"78,498","27,339","15,594","7,302"
Bakerloo,9,Baker Street,Marylebone ,"75,729","29,659","15,293","6,511"
Bakerloo,10,Marylebone ,Edgware Road (B),"62,647","23,338","12,850","5,496"
Bakerloo,11,Edgware Road (B),Paddington,"58,231","22,338","12,317","5,152"
Bakerloo,12,Paddington,Warwick Avenue,"26,467","11,392","7,403","3,041"
Bakerloo,13,Warwick Avenue,Maida Vale,"22,452","10,057","6,381","2,569"
Bakerloo,14,Maida Vale,Kilburn Park,"19,420","8,896","5,357","2,198"
Bakerloo,15,Kilburn Park,Queen's Park,"16,492","7,775","4,537","1,834"
Bakerloo,16,Queen's Park,Kensal Green,"9,968","5,100","2,673","1,069"
Bakerloo,17,Kensal Green,Willesden Junction,"8,876","4,561","2,310",910
Bakerloo,18,Willesden Junction,Harlesden,"8,394","4,303","2,121",795
Bakerloo,19,Harlesden,Stonebridge Park,"7,438","4,009","1,860",672
Bakerloo,20,Stonebridge Park,Wembley Central,"6,496","3,421","1,545",543
Bakerloo,21,Wembley Central,North Wembley,"4,047","2,304","1,100",353
Bakerloo,22,North Wembley,South Kenton,"3,301","1,845",880,260
Bakerloo,23,South Kenton,Kenton,"2,628","1,336",647,191
Bakerloo,24,Kenton,Harrow & Wealdstone,"1,703",821,433,131
Bakerloo,1,Harrow & Wealdstone,Kenton,"1,759",715,205,56
Bakerloo,2,Kenton,South Kenton,"2,686",993,324,78
Bakerloo,3,South Kenton,North Wembley,"3,408","1,074",313,86
Bakerloo,4,North Wembley,Wembley Central,"4,252","1,243",361,91
Bakerloo,5,Wembley Central,Stonebridge Park,"6,698","1,783",583,166
Bakerloo,6,Stonebridge Park,Harlesden,"7,840","2,090",648,188
Bakerloo,7,Harlesden,Willesden Junction,"8,836","2,675",757,216
Bakerloo,8,Willesden Junction,Kensal Green,"9,151","2,933",790,227
Bakerloo,9,Kensal Green,Queen's Park,"10,455","3,201",884,275
Bakerloo,10,Queen's Park,Kilburn Park,"18,789","4,849","1,507",434
Bakerloo,11,Kilburn Park,Maida Vale,"22,027","5,541","1,789",509
Bakerloo,12,Maida Vale,Warwick Avenue,"25,486","6,395","2,213",628
Bakerloo,13,Warwick Avenue,Paddington,"29,605","7,521","2,618",774
Bakerloo,14,Paddington,Edgware Road (B),"58,693","17,023","6,522","1,787"
Bakerloo,15,Edgware Road (B),Marylebone ,"63,190","20,051","7,376","2,022"
Bakerloo,16,Marylebone ,Baker Street,"75,198","23,339","8,837","2,407"
Bakerloo,17,Baker Street,Regent's Park,"76,988","22,566","8,187","2,236"
Bakerloo,18,Regent's Park,Oxford Circus,"77,985","24,636","8,848","2,391"
Bakerloo,19,Oxford Circus,Piccadilly Circus,"73,964","22,035","9,100","2,616"
Bakerloo,20,Piccadilly Circus,Charing Cross ,"58,582","22,704","10,337","3,991"
Bakerloo,21,Charing Cross ,Embankment,"50,121","19,271","9,305","3,909"
Bakerloo,22,Embankment,Waterloo ,"39,344","16,827","8,260","3,544"
Bakerloo,23,Waterloo ,Lambeth North,"16,940","5,801","3,230","1,455"
Bakerloo,24,Lambeth North,Elephant & Castle ,"12,187","4,688","2,700","1,137"
Central,1,West Ruislip,Ruislip Gardens,"2,053",384,119,33
Central,2,Ruislip Gardens,South Ruislip,"3,271",559,170,47
Central,3,South Ruislip,Northolt,"5,326",930,280,81
Central,4,Northolt,Greenford,"10,796","1,719",528,132
Central,5,Greenford,Perivale,"14,638","2,693",760,188
Central,6,Perivale,Hanger Lane,"16,759","3,198",906,219
Central,7,Hanger Lane,North Acton,"19,718","4,524","1,151",266
Central,8,Ealing Broadway,West Acton,"15,975","4,088","1,259",274
Central,9,West Acton,North Acton,"17,238","4,396","1,327",276
Central,10,North Acton,East Acton,"40,576","10,869","2,749",630
Central,11,East Acton,White City,"43,748","11,671","2,995",663
Central,12,White City,Shepherd's Bush (C),"46,676","16,338","4,410","1,085"
Central,13,Shepherd's Bush (C),Holland Park,"66,724","20,927","7,058","2,567"
Central,14,Holland Park,Notting Hill Gate,"69,702","22,442","7,537","2,755"
Central,15,Notting Hill Gate,Queensway,"83,422","25,749","8,991","3,239"
Central,16,Queensway,Lancaster Gate,"94,283","27,606","9,997","3,785"
Central,17,Lancaster Gate,Marble Arch,"100,753","29,383","10,764","4,104"
Central,18,Marble Arch,Bond Street,"111,593","34,380","13,068","5,292"
Central,19,Bond Street,Oxford Circus,"117,701","40,116","15,547","6,086"
Central,20,Oxford Circus,Tottenham Court Road,"120,847","42,475","18,197","7,222"
Central,21,Tottenham Court Road,Holborn,"127,966","47,718","22,755","10,183"
Central,22,Holborn,Chancery Lane,"147,289","55,718","28,662","13,159"
Central,23,Chancery Lane,St. Paul's,"145,863","60,310","30,703","14,047"
Central,24,St. Paul's,Bank and Monument,"140,923","62,506","32,459","14,619"
Central,25,Bank and Monument,Liverpool Street ,"140,076","64,805","33,667","15,199"
Central,26,Liverpool Street ,Bethnal Green ,"122,203","59,258","31,712","14,622"
Central,27,Bethnal Green ,Mile End,"113,933","56,355","30,119","13,675"
Central,28,Mile End,Stratford,"107,600","55,360","27,746","11,841"
Central,29,Stratford,Leyton,"69,061","43,523","22,364","9,322"
Central,30,Leyton,Leytonstone,"58,145","38,274","20,095","7,688"
Central,31,Leytonstone,Snaresbrook,"26,290","17,747","8,990","3,495"
Central,32,Snaresbrook,South Woodford,"24,342","16,419","8,428","3,231"
Central,33,South Woodford,Woodford,"19,246","13,141","6,579","2,599"
Central,34,Woodford,Buckhurst Hill,"12,696","8,135","4,383","1,570"
Central,35,Buckhurst Hill,Loughton,"11,114","7,060","3,730","1,375"
Central,36,Loughton,Debden,"7,492","4,877","2,600",909
Central,37,Debden,Theydon Bois,"5,701","3,462","2,009",722
Central,38,Theydon Bois,Epping,"4,759","2,814","1,738",618
Central,39,Leytonstone,Wanstead,"23,300","15,594","8,637","3,028"
Central,40,Wanstead,Redbridge,"20,725","14,067","7,830","2,782"
Central,41,Redbridge,Gants Hill,"17,866","12,066","7,073","2,388"
Central,42,Gants Hill,Newbury Park,"11,748","8,003","4,480","1,625"
Central,43,Newbury Park,Barkingside,"6,679","4,559","2,754",895
Central,44,Barkingside,Fairlop,"5,303","3,445","2,142",709
Central,45,Fairlop,Hainault,"3,912","2,606","1,694",586
Central,46,Hainault,Grange Hill,523,106,95,77
Central,47,Grange Hill,Chigwell,654,112,44,26
Central,48,Chigwell,Roding Valley,856,213,39,12
Central,49,Roding Valley,Woodford,"1,017",216,44,9
Central,1,Epping,Theydon Bois,"5,162",739,169,53
Central,2,Theydon Bois,Debden,"6,165",869,208,76
Central,3,Debden,Loughton,"8,149","1,548",375,115
Central,4,Loughton,Buckhurst Hill,"11,548","2,168",527,165
Central,5,Buckhurst Hill,Woodford,"13,282","2,421",607,187
Central,6,Woodford,South Woodford,"20,447","3,273",834,234
Central,7,South Woodford,Snaresbrook,"24,785","4,016","1,088",295
Central,8,Snaresbrook,Leytonstone,"26,830","4,505","1,181",334
Central,9,Woodford,Roding Valley,771,"1,271",342,211
Central,10,Roding Valley,Chigwell,620,841,249,143
Central,11,Chigwell,Grange Hill,437,527,165,77
Central,12,Grange Hill,Hainault,379,130,37,15
Central,13,Hainault,Fairlop,"3,858",565,157,49
Central,14,Fairlop,Barkingside,"5,309",794,226,70
Central,15,Barkingside,Newbury Park,"6,653","1,079",305,83
Central,16,Newbury Park,Gants Hill,"12,252","1,799",566,149
Central,17,Gants Hill,Redbridge,"18,718","2,818",953,250
Central,18,Redbridge,Wanstead,"21,901","3,329","1,115",286
Central,19,Wanstead,Leytonstone,"24,568","3,708","1,302",333
Central,20,Leytonstone,Leyton,"60,219","9,607","2,914",816
Central,21,Leyton,Stratford,"72,417","11,322","3,705","1,042"
Central,22,Stratford,Mile End,"103,311","19,822","7,478","2,045"
Central,23,Mile End,Bethnal Green ,"113,252","22,083","8,111","2,294"
Central,24,Bethnal Green ,Liverpool Street ,"122,442","23,833","8,858","2,705"
Central,25,Liverpool Street ,Bank and Monument,"137,877","33,797","12,932","3,938"
Central,26,Bank and Monument,St. Paul's,"140,901","38,839","14,442","4,294"
Central,27,St. Paul's,Chancery Lane,"145,711","44,947","16,966","4,981"
Central,28,Chancery Lane,Holborn,"146,495","50,597","19,806","5,613"
Central,29,Holborn,Tottenham Court Road,"127,231","47,528","20,187","6,224"
Central,30,Tottenham Court Road,Oxford Circus,"125,523","45,932","22,074","8,384"
Central,31,Oxford Circus,Bond Street,"116,579","38,077","20,257","8,314"
Central,32,Bond Street,Marble Arch,"110,229","36,240","19,373","8,338"
Central,33,Marble Arch,Lancaster Gate,"100,439","34,774","19,255","8,219"
Central,34,Lancaster Gate,Queensway,"94,182","31,988","18,121","7,706"
Central,35,Queensway,Notting Hill Gate,"83,337","29,390","16,442","6,930"
Central,36,Notting Hill Gate,Holland Park,"66,732","27,489","14,680","6,208"
Central,37,Holland Park,Shepherd's Bush (C),"63,498","26,433","14,219","5,982"
Central,38,Shepherd's Bush (C),White City,"44,073","20,945","11,377","5,012"
Central,39,White City,East Acton,"40,712","20,127","11,453","4,890"
Central,40,East Acton,North Acton,"37,756","18,720","10,788","4,467"
Central,41,North Acton,Hanger Lane,"17,860","10,728","5,705","2,245"
Central,42,Hanger Lane,Perivale,"15,124","9,271","5,122","1,959"
Central,43,Perivale,Greenford,"13,152","8,034","4,414","1,756"
Central,44,Greenford,Northolt,"9,481","5,709","3,256","1,257"
Central,45,Northolt,South Ruislip,"4,669","2,472","1,539",588
Central,46,South Ruislip,Ruislip Gardens,"2,727","1,394",901,389
Central,47,Ruislip Gardens,West Ruislip,"1,689",700,502,226
Central,48,North Acton,West Acton,"16,154","7,041","4,069","1,676"
Central,49,West Acton,Ealing Broadway,"14,926","6,289","3,748","1,446"
District,1,Ealing Broadway,Ealing Common,"10,310","2,051",666,137
District,2,Ealing Common,Acton Town,"11,484","2,145",711,161
District,3,Acton Town,Chiswick Park,"10,741","2,108",737,199
District,4,Chiswick Park,Turnham Green,"10,686","2,497",714,177
District,5,Richmond,Kew Gardens,"16,191","2,497",715,174
District,6,Kew Gardens,Gunnersbury,"19,491","3,185",896,211
District,7,Gunnersbury,Turnham Green,"21,619","5,656","1,398",321
District,8,Turnham Green,Stamford Brook,"33,242","8,756","2,464",560
District,9,Stamford Brook,Ravenscourt Park,"34,816","9,431","2,598",621
District,10,Ravenscourt Park,Hammersmith,"36,459","10,447","2,959",698
District,11,Hammersmith,Barons Court,"35,389","12,635","3,821","1,323"
District,12,Barons Court,West Kensington,"33,934","12,462","3,985","1,502"
District,13,West Kensington,Earl's Court,"36,984","13,338","4,267","1,564"
District,14,Wimbledon,Wimbledon Park,"19,165","5,589","1,725",477
District,15,Wimbledon Park,Southfields,"19,478","5,706","1,681",441
District,16,Southfields,East Putney,"22,931","6,074","1,749",446
District,17,East Putney,Putney Bridge,"27,504","7,339","2,051",492
District,18,Putney Bridge,Parsons Green,"31,541","9,244","2,618",683
District,19,Parsons Green,Fulham Broadway,"35,840","11,107","3,187",840
District,20,Fulham Broadway,West Brompton,"42,127","14,247","4,166","1,250"
District,21,West Brompton,Earl's Court,"43,922","15,393","4,477","1,355"
District,22,Kensington (Olympia),Earl's Court,982,0,96,0
District,23,Earl's Court,High Street Kensington,"19,223","4,780","1,748",550
District,24,High Street Kensington,Notting Hill Gate,"16,499","5,146","1,946",626
District,25,Notting Hill Gate,Bayswater,"10,548","3,514","1,352",453
District,26,Bayswater,Paddington,"9,148","3,238","1,176",379
District,27,Paddington,Edgware Road (C),"2,624","1,259",364,132
District,28,Earl's Court,Gloucester Road,"58,858","21,259","6,778","2,457"
District,29,Gloucester Road,South Kensington,"61,948","22,936","7,576","2,733"
District,30,South Kensington,Sloane Square,"75,092","28,399","10,306","4,028"
District,31,Sloane Square,Victoria ,"79,758","32,048","12,046","4,722"
District,32,Victoria ,St. James's Park,"67,276","25,909","8,940","3,662"
District,33,St. James's Park,Westminster,"67,805","31,332","10,011","3,973"
District,34,Westminster,Embankment,"55,092","28,501","8,463","3,094"
District,35,Embankment,Temple,"62,763","28,565","10,214","4,234"
District,36,Temple,Blackfriars ,"62,490","30,251","10,885","4,723"
District,37,Blackfriars ,Mansion House,"60,297","30,005","11,170","4,681"
District,38,Mansion House,Cannon Street ,"59,191","30,365","11,610","4,705"
District,39,Cannon Street ,Bank and Monument,"58,575","29,383","11,499","4,844"
District,40,Bank and Monument,Tower Hill,"57,107","28,587","11,574","4,924"
District,41,Tower Hill,Aldgate East,"43,420","23,494","10,760","4,468"
District,42,Aldgate East,Whitechapel,"35,143","22,742","10,761","4,227"
District,43,Whitechapel,Stepney Green,"34,979","25,014","11,449","4,159"
District,44,Stepney Green,Mile End,"34,559","24,747","11,189","4,108"
District,45,Mile End,Bow Road,"33,934","23,334","12,080","4,699"
District,46,Bow Road,Bromley-by-Bow,"31,330","22,117","11,319","4,203"
District,47,Bromley-by-Bow,West Ham,"29,992","21,389","10,899","3,994"
District,48,West Ham,Plaistow,"34,913","24,572","12,950","4,914"
District,49,Plaistow,Upton Park,"32,941","22,734","11,999","4,589"
District,50,Upton Park,East Ham,"28,013","19,316","10,424","3,760"
District,51,East Ham,Barking,"22,153","14,596","7,764","2,702"
District,52,Barking,Upney,"18,374","12,902","7,181","2,115"
District,53,Upney,Becontree,"16,476","11,605","6,222","1,935"
District,54,Becontree,Dagenham Heathway,"13,777","9,462","5,259","1,573"
District,55,Dagenham Heathway,Dagenham East,"8,521","5,959","3,480","1,053"
District,56,Dagenham East,Elm Park,"6,330","4,240","2,575",728
District,57,Elm Park,Hornchurch,"3,828","2,043","1,376",398
District,58,Hornchurch,Upminster Bridge,"2,388",890,679,199
District,59,Upminster Bridge,Upminster,"1,983",575,418,119
District,1,Upminster,Upminster Bridge,"1,617","1,031",250,53
District,2,Upminster Bridge,Hornchurch,"2,061","1,139",232,58
District,3,Hornchurch,Elm Park,"3,433","1,183",268,80
District,4,Elm Park,Dagenham East,"6,060","1,369",331,101
District,5,Dagenham East,Dagenham Heathway,"8,658","1,938",502,155
District,6,Dagenham Heathway,Becontree,"14,124","2,973",831,228
District,7,Becontree,Upney,"17,124","3,319",961,267
District,8,Upney,Barking,"19,355","3,746","1,098",287
District,9,Barking,East Ham,"21,385","4,698","1,517",398
District,10,East Ham,Upton Park,"27,418","5,849","1,862",490
District,11,Upton Park,Plaistow,"32,403","6,791","2,114",535
District,12,Plaistow,West Ham,"34,576","7,130","2,272",555
District,13,West Ham,Bromley-by-Bow,"28,218","6,176","1,984",589
District,14,Bromley-by-Bow,Bow Road,"29,939","6,653","2,117",585
District,15,Bow Road,Mile End,"33,016","7,242","2,329",661
District,16,Mile End,Stepney Green,"32,072","6,671","2,459",752
District,17,Stepney Green,Whitechapel,"33,027","7,171","2,558",714
District,18,Whitechapel,Aldgate East,"32,783","7,745","2,526",789
District,19,Aldgate East,Tower Hill,"42,086","11,787","4,218","1,245"
District,20,Tower Hill,Bank and Monument,"54,137","16,430","5,495","1,750"
District,21,Bank and Monument,Cannon Street ,"54,387","18,689","6,752","2,040"
District,22,Cannon Street ,Mansion House,"55,536","20,625","7,555","2,321"
District,23,Mansion House,Blackfriars ,"56,511","24,326","9,112","2,603"
District,24,Blackfriars ,Temple,"59,746","27,298","10,552","2,949"
District,25,Temple,Embankment,"59,596","29,597","12,054","3,495"
District,26,Embankment,Westminster,"57,054","26,381","12,679","4,556"
District,27,Westminster,St. James's Park,"62,621","28,354","14,078","5,277"
District,28,St. James's Park,Victoria ,"61,984","31,034","14,728","5,526"
District,29,Victoria ,Sloane Square,"82,228","31,545","16,511","6,287"
District,30,Sloane Square,South Kensington,"77,636","29,622","16,411","6,211"
District,31,South Kensington,Gloucester Road,"63,651","28,605","16,302","6,593"
District,32,Gloucester Road,Earl's Court,"61,426","27,612","16,302","6,463"
District,33,Edgware Road (C),Paddington,"5,630","2,104","1,199",484
District,34,Paddington,Bayswater,"11,723","4,463","2,190",745
District,35,Bayswater,Notting Hill Gate,"13,070","4,759","2,302",767
District,36,Notting Hill Gate,High Street Kensington,"18,427","6,868","3,707","1,277"
District,37,High Street Kensington,Earl's Court,"20,168","7,652","4,163","1,390"
District,38,Earl's Court,Kensington (Olympia),668,0,16,0
District,39,Earl's Court,West Brompton,"45,213","21,648","13,116","5,272"
District,40,West Brompton,Fulham Broadway,"42,628","20,424","12,473","4,964"
District,41,Fulham Broadway,Parsons Green,"36,575","17,968","10,965","4,618"
District,42,Parsons Green,Putney Bridge,"32,672","15,692","9,197","3,985"
District,43,Putney Bridge,East Putney,"28,392","13,587","7,961","3,240"
District,44,East Putney,Southfields,"24,037","10,945","5,858","2,447"
District,45,Southfields,Wimbledon Park,"21,254","8,410","4,216","1,643"
District,46,Wimbledon Park,Wimbledon,"20,846","7,784","3,789","1,465"
District,47,Earl's Court,West Kensington,"40,382","16,078","9,701","3,802"
District,48,West Kensington,Barons Court,"38,092","14,950","8,746","3,273"
District,49,Barons Court,Hammersmith ,"38,690","14,740","8,651","3,453"
District,50,Hammersmith ,Ravenscourt Park,"38,662","13,853","9,321","3,750"
District,51,Ravenscourt Park,Stamford Brook,"37,288","13,428","8,846","3,471"
District,52,Stamford Brook,Turnham Green,"36,150","12,640","8,069","3,303"
District,53,Turnham Green,Gunnersbury,"24,973","6,131","4,447","2,081"
District,54,Gunnersbury,Kew Gardens,"23,468","5,857","3,888","1,777"
District,55,Kew Gardens,Richmond,"20,654","4,825","3,147","1,435"
District,56,Turnham Green,Chiswick Park,"11,658","4,696","2,444","1,008"
District,57,Chiswick Park,Acton Town,"11,890","4,583","2,125",837
District,58,Acton Town,Ealing Common,"12,649","3,749","1,880",801
District,59,Ealing Common,Ealing Broadway,"11,493","3,281","1,574",603
Docklands Light Railway,1,Woolwich Arsenal,King George V,"15,577","5,164","1,784",514
Docklands Light Railway,2,King George V,London City Airport,"16,801","5,494","1,883",549
Docklands Light Railway,3,London City Airport,Pontoon Dock,"18,663","6,797","2,981",613
Docklands Light Railway,4,Pontoon Dock,West Silvertown,"21,939","7,591","3,153",677
Docklands Light Railway,5,West Silvertown,Canning Town,"23,706","8,185","3,334",734
Docklands Light Railway,6,Beckton,Gallions Reach,"2,585",605,276,67
Docklands Light Railway,7,Gallions Reach,Cyprus,"4,003","1,109",436,126
Docklands Light Railway,8,Cyprus,Beckton Park,"5,231","2,267",797,214
Docklands Light Railway,9,Beckton Park,Royal Albert,"5,743","2,344",827,224
Docklands Light Railway,10,Royal Albert,Prince Regent,"7,886","3,066",982,281
Docklands Light Railway,11,Prince Regent,Custom House,"11,062","3,817","1,264",354
Docklands Light Railway,12,Custom House,Royal Victoria,"13,829","4,583","1,595",431
Docklands Light Railway,13,Royal Victoria,Canning Town,"18,854","5,475","1,986",593
Docklands Light Railway,14,Canning Town,Star Lane,"10,229","3,724","1,521",548
Docklands Light Railway,15,Star Lane,West Ham,"10,889","4,057","1,640",554
Docklands Light Railway,16,West Ham,Abbey Road,"10,484","3,328","1,415",469
Docklands Light Railway,17,Abbey Road,Stratford High Street,"10,784","3,364","1,424",443
Docklands Light Railway,18,Stratford High Street,Stratford,"10,141","3,245","1,329",410
Docklands Light Railway,19,Stratford,Stratford International ,"4,643","1,697",869,402
Docklands Light Railway,20,Canning Town,East India,"16,389","6,051","2,135",707
Docklands Light Railway,21,East India,Blackwall,"17,038","6,467","2,072",654
Docklands Light Railway,22,Blackwall,Poplar,"17,483","6,786","2,126",635
Docklands Light Railway,23,Poplar,Westferry,"16,022","6,395","1,896",577
Docklands Light Railway,24,Lewisham ,Elverson Road,"10,904","2,228",834,330
Docklands Light Railway,25,Elverson Road,Deptford Bridge,"12,640","2,436",955,373
Docklands Light Railway,26,Deptford Bridge,Greenwich,"15,928","2,957","1,257",527
Docklands Light Railway,27,Greenwich,Cutty Sark,"18,175","3,879","1,699",640
Docklands Light Railway,28,Cutty Sark,Island Gardens,"24,395","5,506","2,415","1,000"
Docklands Light Railway,29,Island Gardens,Mudchute,"26,404","5,822","2,493","1,000"
Docklands Light Railway,30,Mudchute,Crossharbour,"27,996","6,054","2,581","1,002"
Docklands Light Railway,31,Crossharbour,South Quay,"31,044","6,906","2,893","1,156"
